clay,sand,bd,h333,h15000
37.0,25.0,0.81,0.49200000000000005,0.32799999999999996
35.0,23.0,0.765,0.5,0.24100000000000002
34.0,23.0,0.815,0.45399999999999996,0.237
33.0,24.0,0.675,0.37200000000000005,0.20600000000000002
33.0,21.0,0.6579999999999999,0.395,0.21100000000000002
39.0,21.0,0.745,0.428,0.23399999999999999
41.0,25.0,0.725,0.474,0.21600000000000003
46.0,18.0,0.988,0.541,0.345
34.0,35.0,1.315,0.415,0.309
41.0,29.0,1.052,0.499,0.32899999999999996
39.0,21.0,0.7,0.563,0.247
38.0,20.0,0.627,0.425,0.198
38.0,17.0,0.807,0.526,0.243
38.0,18.0,0.6990000000000001,0.524,0.284
38.0,16.0,0.71,0.48100000000000004,0.226
37.0,17.0,0.84,0.5539999999999999,0.233
35.0,14.0,0.748,0.573,0.302
52.0,11.0,0.915,0.48700000000000004,0.33
47.0,17.0,1.0759999999999998,0.41,0.248
37.0,25.0,0.5720000000000001,0.43,0.223
37.0,18.0,0.698,0.518,0.242
38.0,17.0,0.705,0.512,0.23399999999999999
35.0,20.0,0.741,0.578,0.319
37.0,15.0,0.765,0.5760000000000001,0.324
48.0,11.0,0.8270000000000001,0.489,0.303
39.0,14.0,0.779,0.534,0.303
47.0,15.0,0.937,0.36,0.222
45.0,17.0,1.0090000000000001,0.375,0.231
19.0,62.0,1.202,0.264,0.10300000000000001
20.0,62.0,1.485,0.32,0.129
20.0,62.0,1.163,0.27899999999999997,0.102
19.0,61.0,1.3969999999999998,0.311,0.131
21.0,61.0,1.3719999999999999,0.284,0.132
20.0,59.0,1.3769999999999998,0.289,0.128
21.0,64.0,1.515,0.275,0.126
20.0,65.0,1.55,0.298,0.13699999999999998
20.0,65.0,1.237,0.248,0.115
20.0,61.0,1.475,0.327,0.138
19.0,61.0,1.425,0.308,0.131
20.0,61.0,1.4509999999999998,0.315,0.134
20.0,61.0,1.587,0.324,0.146
20.0,60.0,1.541,0.295,0.15
21.0,59.0,1.601,0.311,0.153
17.0,71.0,1.3880000000000001,0.261,0.111
17.0,71.0,1.4369999999999998,0.262,0.113
19.0,67.0,1.475,0.272,0.128
20.0,63.0,1.237,0.29600000000000004,0.11800000000000001
22.0,70.0,1.181,0.233,0.095
17.0,67.0,1.264,0.292,0.109
17.0,66.0,1.3230000000000002,0.36,0.132
17.0,70.0,1.4080000000000001,0.314,0.125
17.0,68.0,1.2429999999999999,0.29100000000000004,0.11699999999999999
19.0,68.0,1.64,0.353,0.168
20.0,66.0,1.5830000000000002,0.332,0.177
19.0,68.0,1.6230000000000002,0.33399999999999996,0.175
17.0,66.0,1.335,0.36,0.14400000000000002
14.0,71.0,1.391,0.297,0.131
15.0,71.0,1.324,0.33,0.125
17.0,66.0,1.4669999999999999,0.299,0.159
11.0,64.0,1.386,0.321,0.162
20.0,64.0,1.4809999999999999,0.32799999999999996,0.135
22.0,65.0,1.578,0.313,0.146
21.0,65.0,1.736,0.342,0.157
21.0,63.0,1.5630000000000002,0.303,0.14300000000000002
18.0,69.0,1.285,0.242,0.125
14.0,73.0,1.338,0.223,0.09699999999999999
12.0,77.0,1.402,0.19899999999999998,0.109
19.0,66.0,1.642,0.317,0.113
13.0,76.0,1.52,0.257,0.12
11.0,80.0,1.6569999999999998,0.261,0.11
27.0,62.0,1.5319999999999998,0.35200000000000004,0.23800000000000002
21.0,57.0,1.579,0.305,0.168
23.0,58.0,1.615,0.281,0.14300000000000002
17.0,66.0,1.298,0.255,0.113
18.0,65.0,1.173,0.22699999999999998,0.09699999999999999
16.0,65.0,1.3030000000000002,0.258,0.109
19.0,63.0,1.331,0.262,0.135
18.0,65.0,1.429,0.29600000000000004,0.129
17.0,66.0,1.4409999999999998,0.215,0.12300000000000001
40.0,30.0,1.374,0.377,0.237
26.0,43.0,1.415,0.336,0.191
24.0,49.0,1.5390000000000001,0.342,0.20199999999999999
8.0,78.0,1.3869999999999998,0.19399999999999998,0.055999999999999994
8.0,78.0,1.389,0.19,0.057999999999999996
8.0,80.0,1.483,0.19699999999999998,0.065
9.0,79.0,1.347,0.18100000000000002,0.055999999999999994
8.0,79.0,1.314,0.182,0.054000000000000006
9.0,80.0,1.367,0.185,0.055999999999999994
14.0,73.0,1.6869999999999998,0.212,0.09300000000000001
15.0,71.0,1.681,0.231,0.10300000000000001
14.0,74.0,1.656,0.209,0.10300000000000001
8.0,79.0,1.4369999999999998,0.2,0.061
8.0,79.0,1.4880000000000002,0.205,0.066
9.0,79.0,1.4169999999999998,0.188,0.057
12.0,75.0,1.548,0.21600000000000003,0.07200000000000001
9.0,79.0,1.588,0.221,0.083
11.0,75.0,1.58,0.213,0.08800000000000001
17.0,70.0,1.715,0.21899999999999997,0.092
16.0,71.0,1.665,0.215,0.10099999999999999
17.0,71.0,1.655,0.21899999999999997,0.087
6.0,77.0,1.4240000000000002,0.166,0.051
7.0,77.0,1.465,0.18100000000000002,0.054000000000000006
7.0,79.0,1.465,0.183,0.048
8.0,79.0,1.466,0.17,0.06
7.0,76.0,1.405,0.166,0.053
8.0,77.0,1.4809999999999999,0.172,0.052000000000000005
10.0,76.0,1.6269999999999998,0.226,0.095
12.0,73.0,1.656,0.22699999999999998,0.095
13.0,73.0,1.609,0.212,0.086
8.0,78.0,1.4169999999999998,0.18,0.054000000000000006
7.0,78.0,1.3769999999999998,0.157,0.047
8.0,78.0,1.436,0.17300000000000001,0.05
11.0,71.0,1.587,0.195,0.07
10.0,75.0,1.49,0.177,0.073
12.0,73.0,1.605,0.192,0.083
12.0,73.0,1.625,0.213,0.11800000000000001
13.0,74.0,1.635,0.209,0.11599999999999999
12.0,75.0,1.6640000000000001,0.221,0.11699999999999999
27.0,42.0,1.0859999999999999,0.40399999999999997,0.264
40.0,40.0,1.156,0.381,0.26
13.0,46.0,1.104,0.379,0.271
